cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
12,1,8,9.078625440597534,2.2696563601493835,1.6249351114381423,"[0.4217226505279541, 2.7257168292999268, 1.2378559112548828, 4.6933300495147705]",10,11.619243383407593,1.6598919119153703,0.5026301119853741,"[0.9754140377044678, 1.8135900497436523, 2.605769157409668, 1.5578279495239258, 1.197871208190918, 1.4635870456695557, 2.0051839351654053]"
12,1,12,9.250454187393188,1.5417423645655315,0.9556949260009019,"[0.31771278381347656, 0.4617652893066406, 1.7337651252746582, 2.7411980628967285, 1.318448781967163, 2.6775641441345215]",10,8.46798825263977,1.6935976505279542,0.376862893755865,"[1.6856698989868164, 1.4298739433288574, 1.3656840324401855, 1.573113203048706, 2.413647174835205]"
6,1,10,4.70969295501709,0.9419385910034179,0.40441970794682963,"[1.3173797130584717, 1.3269779682159424, 0.8537478446960449, 0.22186613082885742, 0.9897212982177734]",10,6.868045330047607,1.3736090660095215,0.9518597799365408,"[1.069655179977417, 0.46958494186401367, 1.053349256515503, 1.053704023361206, 3.2217519283294678]"
9,1,10,7.908406496047974,1.5816812992095948,0.8830319068419308,"[0.30121374130249023, 1.6217308044433594, 1.1498339176177979, 2.9978129863739014, 1.8378150463104248]",10,7.97271990776062,1.594543981552124,0.7425266868694119,"[1.5177719593048096, 1.0937490463256836, 2.853841781616211, 0.6697990894317627, 1.8375580310821533]"
9,1,10,8.875809669494629,1.7751619338989257,0.6977369027638792,"[2.6531691551208496, 0.9415349960327148, 1.2778387069702148, 2.557710886001587, 1.4455559253692627]",10,8.208108901977539,1.1725869859967912,0.45513000115427765,"[1.0217199325561523, 0.3577840328216553, 1.9816830158233643, 1.2215969562530518, 1.397838830947876, 1.269686222076416, 0.9577999114990234]"
9,1,8,6.1039721965789795,1.5259930491447449,0.6868538403405848,"[2.19728422164917, 1.4696040153503418, 0.4298059940338135, 2.0072779655456543]",10,11.036542892456055,2.2073085784912108,1.1905486186650607,"[1.9176976680755615, 1.3976850509643555, 3.4215402603149414, 0.5898909568786621, 3.709728956222534]"
9,1,12,8.209001541137695,1.3681669235229492,0.7339933601467936,"[0.9493610858917236, 0.7973098754882812, 0.7896969318389893, 2.7816197872161865, 1.8852579593658447, 1.00575590133667]",10,6.388330698013306,1.2776661396026612,0.3601776489326194,"[1.8375520706176758, 1.3896889686584473, 1.1176588535308838, 1.3098077774047852, 0.7336230278015137]"
0,1,0,0.0,0.0,0.0,[],10,5.246310234069824,1.311577558517456,0.5111024686559484,"[1.6293730735778809, 0.6774880886077881, 0.9738321304321289, 1.9656169414520264]"
0,1,2,1.9094569683074951,1.9094569683074951,0.0,[1.9094569683074951],10,3.9971890449523926,3.9971890449523926,0.0,[3.9971890449523926]
6,1,10,6.892277240753174,1.3784554481506348,0.6828096654573479,"[1.0300242900848389, 2.373652935028076, 1.7975802421569824, 1.3331549167633057, 0.3578648567199707]",10,7.076463937759399,1.41529278755188,0.6656547450835975,"[2.0373470783233643, 1.333808183670044, 0.9898438453674316, 0.4537808895111084, 2.261683940887451]"
6,1,10,6.165255308151245,1.233051061630249,0.6911699675813114,"[1.2695941925048828, 2.341629981994629, 1.4623291492462158, 0.2619137763977051, 0.8297882080078125]",10,10.389001846313477,1.2986252307891846,0.5641500504372745,"[1.4374399185180664, 1.0932879447937012, 0.44580936431884766, 1.3576641082763672, 1.0537500381469727, 1.9338009357452393, 0.7654948234558105, 2.3017547130584717]"
3,1,8,4.09410285949707,1.0235257148742676,1.117504543757369,"[0.30930185317993164, 0.38964104652404785, 0.43769073486328125, 2.9574692249298096]",10,1.993016004562378,0.6643386681874593,0.18946613769354612,"[0.6692650318145752, 0.4298670291900635, 0.8938839435577393]"
