cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
3,-1,6,12.95948314666748,4.319827715555827,1.0396004873661258,"[3.1651690006256104, 4.108978033065796, 5.685336112976074]",4,0.0,0.0,0.0,[]
0,-1,12,11.289037227630615,1.8815062046051025,0.749332373455444,"[0.8132979869842529, 1.6456546783447266, 2.29366397857666, 3.173454761505127, 2.0373449325561523, 1.3256208896636963]",4,1.427638292312622,0.713819146156311,0.32409918308258057,"[0.38971996307373047, 1.0379183292388916]"
12,-1,8,6.694158554077148,1.673539638519287,0.5869200154487196,"[2.1895499229431152, 0.7497787475585938, 2.1733620166778564, 1.581467866897583]",4,0.0,0.0,0.0,[]
3,-1,8,5.326242208480835,1.3315605521202087,0.770403092596752,"[0.901270866394043, 0.7413136959075928, 1.0294878482818604, 2.654169797897339]",4,1.365232229232788,1.365232229232788,0.0,[1.365232229232788]
9,-1,8,8.73524785041809,2.1838119626045227,2.141022988361375,"[5.869194984436035, 0.9655940532684326, 0.613804817199707, 1.286653995513916]",4,0.9791707992553711,0.48958539962768555,0.3882486820220947,"[0.8778340816497803, 0.10133671760559082]"
12,-1,8,3.97445011138916,0.99361252784729,1.0978569900126343,"[2.8930861949920654, 0.2854931354522705, 0.43006086349487305, 0.36580991744995117]",4,7.222949981689453,1.8057374954223633,1.9579819900047284,"[0.46156907081604004, 0.21372294425964355, 5.101790904998779, 1.4458670616149902]"
0,-1,4,17.538705110549927,8.769352555274963,4.49974262714386,"[4.2696099281311035, 13.269095182418823]",4,0.0,0.0,0.0,[]
9,-1,8,3.885654926300049,0.9714137315750122,0.677643244324118,"[1.9972951412200928, 0.5814418792724609, 1.1171939373016357, 0.18972396850585938]",4,1.7388789653778076,0.8694394826889038,0.2801436185836792,"[1.149583101272583, 0.5892958641052246]"
6,-1,4,3.978755235671997,1.9893776178359985,0.12817847728729248,"[2.117556095123291, 1.861199140548706]",4,3.5252537727355957,3.5252537727355957,0.0,[3.5252537727355957]
9,-1,8,9.909723997116089,2.477430999279022,1.2668304512278836,"[4.293529033660889, 1.1176588535308838, 3.0135090351104736, 1.4850270748138428]",4,6.800618886947632,2.2668729623158774,2.2807939762671228,"[0.9973697662353516, 0.33368706703186035, 5.46956205368042]"
