cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
9,-1,6,2.336663246154785,0.7788877487182617,0.42349683716247305,"[1.0373051166534424, 1.117588996887207, 0.18176913261413574]",20,11.164564609527588,1.3955705761909485,0.6972216723200566,"[1.3892309665679932, 1.3173601627349854, 1.0774776935577393, 2.669570207595825, 2.213639974594116, 1.421764850616455, 0.4457578659057617, 0.6297628879547119]"
9,-1,10,6.812793970108032,1.3625587940216064,1.0546473253151925,"[0.557866096496582, 0.3977649211883545, 3.3497679233551025, 1.1817750930786133, 1.3256199359893799]",20,10.08762240409851,1.4410889148712158,0.8914187828731978,"[0.8214879035949707, 1.7015528678894043, 3.4137086868286133, 0.429807186126709, 1.0296320915222168, 1.2777559757232666, 1.41367769241333]"
6,-1,8,3.7111668586730957,0.9277917146682739,0.6787345879295879,"[1.877852201461792, 0.237868070602417, 1.2615537643432617, 0.333892822265625]",20,12.154677152633667,1.350519683625963,1.0111860577598977,"[2.613039255142212, 2.1494741439819336, 2.4777400493621826, 0.11783790588378906, 0.1416490077972412, 0.9334919452667236, 0.1259927749633789, 2.3657610416412354, 1.2296910285949707]"
9,-1,10,4.21312689781189,0.8426253795623779,0.3350742611686771,"[0.6700217723846436, 0.38991403579711914, 1.325632095336914, 0.7098028659820557, 1.1177561283111572]",20,11.757823467254639,1.3064248296949599,0.6955481480840484,"[1.0216100215911865, 1.837812900543213, 1.7738969326019287, 1.757688045501709, 0.13382816314697266, 0.5338437557220459, 1.6616220474243164, 2.349489688873291, 0.6880319118499756]"
0,-1,10,3.3642892837524414,0.6728578567504883,0.3934037278284589,"[1.2610599994659424, 0.3176891803741455, 0.8698439598083496, 0.7497761249542236, 0.16592001914978027]",20,8.474925756454468,0.9416584173838297,0.6238179488870044,"[0.8053340911865234, 1.0857090950012207, 0.29372191429138184, 1.2856392860412598, 2.4376163482666016, 0.8857541084289551, 0.20579886436462402, 0.9096319675445557, 0.5657200813293457]"
3,-1,12,5.202196359634399,0.8670327266057333,0.5790783640969085,"[0.20554304122924805, 0.6057600975036621, 0.11777901649475098, 1.333503007888794, 1.453796148300171, 1.4858150482177734]",20,10.61425256729126,1.3267815709114075,0.7819061229888393,"[0.7015259265899658, 1.0856988430023193, 1.445781946182251, 2.1030001640319824, 2.8135690689086914, 0.08576297760009766, 1.0536348819732666, 1.3252787590026855]"
6,-1,12,6.002475738525391,1.0004126230875652,0.7956060801720084,"[2.08548903465271, 0.10984182357788086, 0.48575496673583984, 1.4699089527130127, 0.10996603965759277, 1.7415149211883545]",20,8.323710918426514,0.9248567687140571,0.5359403271610182,"[1.3892672061920166, 1.1827378273010254, 0.8934650421142578, 0.14974617958068848, 1.4616672992706299, 0.6776981353759766, 1.7254703044891357, 0.10181474685668945, 0.7418441772460938]"
6,-1,8,5.558749675750732,1.389687418937683,0.699020772451168,"[2.1017141342163086, 1.5015449523925781, 1.7178916931152344, 0.23759889602661133]",20,8.896898031234741,1.2709854330335344,0.8167677343408382,"[1.309650182723999, 1.325559139251709, 1.0785698890686035, 0.29387807846069336, 3.0857138633728027, 1.1337568759918213, 0.6697700023651123]"
0,-1,10,4.428391933441162,0.8856783866882324,0.5874150177770842,"[1.2777328491210938, 0.37355899810791016, 0.2537252902984619, 1.8216779232025146, 0.7016968727111816]",20,6.163315534591675,1.232663106918335,0.7074526613640572,"[1.9169528484344482, 1.5015490055084229, 0.6615149974822998, 1.9255926609039307, 0.15770602226257324]"
12,-1,10,5.3479979038238525,1.0695995807647705,0.5043597154800277,"[0.8613600730895996, 1.9738008975982666, 1.0373930931091309, 1.045639991760254, 0.42980384826660156]",20,9.51984453201294,1.3599777902875627,1.1228921122145372,"[1.4371049404144287, 1.8937058448791504, 0.06973695755004883, 3.765805959701538, 0.8857858180999756, 0.925865888595581, 0.5418391227722168]"
