cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
12,-1,4,4.011157989501953,2.0055789947509766,0.05610203742980957,"[2.061681032180786, 1.949476957321167]",10,11.369002103805542,1.8948336839675903,1.757528088323009,"[0.5011110305786133, 1.1415841579437256, 5.4772608280181885, 0.39768075942993164, 2.6135880947113037, 1.2377772331237793]"
9,-1,10,2.748384475708008,0.5496768951416016,0.2551772215859458,"[0.9736618995666504, 0.7176072597503662, 0.37387585639953613, 0.3497316837310791, 0.333507776260376]",10,11.368045091629028,1.6240064416612898,1.0322024194482267,"[3.4374618530273438, 1.3097760677337646, 2.0617620944976807, 2.453598976135254, 0.269838809967041, 1.3418691158294678, 0.49373817443847656]"
3,-1,6,4.824875831604004,1.6082919438680012,1.4124664244233973,"[0.8374049663543701, 0.39783692359924316, 3.5896339416503906]",10,6.014720439910889,1.5036801099777222,1.0938166961854092,"[3.245607376098633, 0.3018479347229004, 0.9497511386871338, 1.5175139904022217]"
0,-1,2,0.2935459613800049,0.2935459613800049,0.0,[0.2935459613800049],10,9.500849723815918,2.3752124309539795,1.601542230417902,"[1.82114577293396, 0.549393892288208, 2.189069986343384, 4.941240072250366]"
9,-1,10,3.901052236557007,0.7802104473114013,0.5055451117210705,"[0.10172677040100098, 0.46190476417541504, 1.6136932373046875, 0.7978613376617432, 0.9258661270141602]",10,12.703052043914795,1.8147217205592565,0.7514426676185081,"[2.253314971923828, 2.037604808807373, 2.069117784500122, 1.5495750904083252, 3.1097769737243652, 0.7898621559143066, 0.8938002586364746]"
9,-1,10,5.699510097503662,1.1399020195007323,0.42026845605595203,"[0.709313154220581, 0.7973289489746094, 1.421720027923584, 1.8215980529785156, 0.9495499134063721]",10,5.553375005722046,1.8511250019073486,1.1109894907367408,"[1.0298609733581543, 3.4217529296875, 1.1017611026763916]"
6,-1,6,2.834496259689331,0.9448320865631104,0.2968739142877252,"[1.2237510681152344, 0.5336110591888428, 1.077134132385254]",10,6.572523832321167,1.3145047664642333,1.4485353279372706,"[0.5976078510284424, 4.045647144317627, 1.5176811218261719, 0.10979199409484863, 0.30179572105407715]"
6,-1,10,6.2760279178619385,1.2552055835723877,0.9186996585497884,"[1.2615571022033691, 0.4853849411010742, 0.7977199554443359, 0.7096719741821289, 3.0216939449310303]",10,10.885856628417969,2.177171325683594,1.4215302438018538,"[0.8291609287261963, 1.3281080722808838, 2.197633743286133, 4.877380132675171, 1.653573751449585]"
0,-1,10,6.420322895050049,1.2840645790100098,0.6789436617380447,"[0.7178850173950195, 1.0136220455169678, 1.7334280014038086, 0.5737547874450684, 2.3816330432891846]",10,11.401679754257202,1.900279959042867,1.2469062224285012,"[0.3735320568084717, 0.7658958435058594, 1.2296490669250488, 2.253504991531372, 3.9813709259033203, 2.79772686958313]"
0,-1,8,2.734490394592285,0.6836225986480713,0.21858879770099854,"[0.4776639938354492, 0.8855898380279541, 0.9178967475891113, 0.4533398151397705]",10,7.778529405593872,1.2964215675989788,0.7121027171790253,"[2.622462034225464, 1.0133240222930908, 0.4136009216308594, 0.7817277908325195, 1.2536258697509766, 1.693788766860962]"
12,-1,8,4.301561117172241,1.0753902792930603,0.4519570596324843,"[0.9092531204223633, 0.9657652378082275, 0.605233907699585, 1.8213088512420654]",10,9.488920450210571,2.372230112552643,1.4171326397096646,"[2.397735118865967, 0.5817821025848389, 1.9761881828308105, 4.533215045928955]"
3,-1,6,3.353696823120117,1.117898941040039,0.4528919609522425,"[1.758119821548462, 0.7818319797515869, 0.8137450218200684]",10,12.380988121032715,1.5476235151290894,0.4528556396398222,"[0.8855249881744385, 2.1977250576019287, 1.3176748752593994, 1.613124132156372, 1.4699609279632568, 2.2453770637512207, 1.5818769931793213, 1.0697240829467773]"
0,-1,10,3.892982006072998,0.7785964012145996,0.5690321104667754,"[1.6777441501617432, 1.1978297233581543, 0.46177196502685547, 0.40593695640563965, 0.14969921112060547]",10,12.975991249084473,1.2975991249084473,1.197314026683359,"[2.821420907974243, 1.48573899269104, 0.7737870216369629, 4.20534610748291, 0.2938499450683594, 1.1097581386566162, 0.6615591049194336, 0.301436185836792, 0.6614539623260498, 0.6616408824920654]"
12,-1,6,1.3690268993377686,0.45634229977925617,0.20618591537406378,"[0.2615230083465576, 0.3658609390258789, 0.741642951965332]",10,2.6863553524017334,0.6715888381004333,0.38293823850974634,"[0.27708005905151367, 0.9658370018005371, 1.1336181163787842, 0.30982017517089844]"
9,-1,8,5.231085538864136,1.307771384716034,0.626389130598678,"[0.8938512802124023, 1.205739974975586, 0.7737212181091309, 2.3577730655670166]",10,10.999242067337036,1.5713202953338623,0.8026850117879107,"[1.2695767879486084, 1.8294782638549805, 1.149730920791626, 1.101755142211914, 1.3018009662628174, 3.4297218322753906, 0.9171781539916992]"
6,-1,4,1.4267289638519287,0.7133644819259644,0.3158496618270874,"[0.39751482009887695, 1.0292141437530518]",10,9.835848093032837,1.9671696186065675,1.5232596311619226,"[2.2934939861297607, 0.7498140335083008, 4.757515907287598, 1.4776349067687988, 0.5573892593383789]"
6,-1,10,4.429030656814575,0.8858061313629151,0.5456051775685687,"[1.941774845123291, 0.6217312812805176, 0.8058722019195557, 0.6777901649475098, 0.38186216354370117]",10,15.339338064193726,1.5339338064193726,0.6440643985850538,"[2.2132680416107178, 1.3015999794006348, 2.0458381175994873, 2.4937520027160645, 0.9415938854217529, 0.9658257961273193, 1.8616721630096436, 2.0617659091949463, 0.9362208843231201, 0.5178012847900391]"
9,-1,10,4.57241153717041,0.914482307434082,0.5740774690343363,"[0.18180298805236816, 0.573357105255127, 0.9336471557617188, 1.90985107421875, 0.9737532138824463]",10,9.927989959716797,1.4182842799595423,0.7338612458600127,"[0.685420036315918, 0.40576910972595215, 1.4218480587005615, 1.6136858463287354, 2.8216569423675537, 1.7977900505065918, 1.1818199157714844]"
