cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
9,-1,16,7.141932964324951,0.8927416205406189,0.8575801021116927,"[0.2458939552307129, 0.46976494789123535, 0.5496809482574463, 0.4137892723083496, 2.069525957107544, 2.6137359142303467, 0.5977857112884521, 0.18175625801086426]",2,8.063743591308594,1.151963370186942,0.5604935087233053,"[0.309420108795166, 0.3738129138946533, 1.0618102550506592, 1.7656691074371338, 1.341766119003296, 1.7657179832458496, 1.445547103881836]"
3,-1,16,2.6692373752593994,0.3336546719074249,0.12104313688904153,"[0.14154601097106934, 0.40575695037841797, 0.35726499557495117, 0.4537620544433594, 0.29386425018310547, 0.43760085105895996, 0.14160728454589844, 0.4378349781036377]",2,3.4878618717193604,0.49826598167419434,0.36253313197698783,"[0.5177350044250488, 0.32558488845825195, 0.30178213119506836, 0.5500569343566895, 1.3093061447143555, 0.06981778144836426, 0.41357898712158203]"
12,-1,16,7.36487603187561,0.9206095039844513,0.6356265748273752,"[0.8856170177459717, 1.117440938949585, 1.1977550983428955, 0.4697589874267578, 2.389525890350342, 0.41370105743408203, 0.5973110198974609, 0.2937660217285156]",2,7.59955620765686,1.085650886808123,0.9335485071108888,"[2.5015909671783447, 0.40585780143737793, 1.3736457824707031, 0.26963257789611816, 0.07726097106933594, 0.6060981750488281, 2.3654699325561523]"
9,-1,18,6.585985422134399,0.7317761580149332,0.43290592759856733,"[0.48557186126708984, 0.5890586376190186, 0.15770792961120605, 1.6374938488006592, 0.9014861583709717, 0.8375270366668701, 0.3657569885253906, 1.1737420558929443, 0.437640905380249]",2,6.412001848220825,1.282400369644165,0.858703580768804,"[0.741692066192627, 1.7255969047546387, 0.629457950592041, 0.5417990684509277, 2.773455858230591]"
3,-1,8,1.2462348937988281,0.31155872344970703,0.13347955305520376,"[0.38149380683898926, 0.469616174697876, 0.285322904586792, 0.1098020076751709]",2,4.464073419570923,0.6377247742244175,0.6022214108806415,"[0.5017809867858887, 2.037436008453369, 0.21374893188476562, 0.7897088527679443, 0.3658280372619629, 0.16569876670837402, 0.38987183570861816]"
12,-1,18,6.211149454116821,0.6901277171240913,0.7328680890454662,"[0.43779778480529785, 0.4691641330718994, 0.06973981857299805, 0.30176782608032227, 0.7654728889465332, 0.4538443088531494, 0.5737168788909912, 0.437816858291626, 2.701828956604004]",2,5.43346643447876,0.7762094906398228,0.6224472542761746,"[0.21374106407165527, 1.3655359745025635, 0.15772390365600586, 1.8378312587738037, 0.22983312606811523, 1.1589279174804688, 0.46987318992614746]"
0,-1,6,2.1927289962768555,0.7309096654256185,0.31671056997872415,"[0.3417699337005615, 0.733422040939331, 1.117537021636963]",2,0.538762092590332,0.269381046295166,0.04790902137756348,"[0.22147202491760254, 0.3172900676727295]"
3,-1,12,2.641242027282715,0.44020700454711914,0.2825236079911446,"[0.6130681037902832, 0.5093259811401367, 0.05340981483459473, 0.9260060787200928, 0.25371623039245605, 0.28571581840515137]",2,3.478677988052368,0.869669497013092,0.514284224872143,"[1.0854010581970215, 0.3017709255218506, 0.48588991165161133, 1.6056160926818848]"
9,-1,10,3.387702465057373,0.6775404930114746,0.40668338895621786,"[0.7410259246826172, 0.509697675704956, 0.49366188049316406, 0.2219069004058838, 1.421410083770752]",2,3.0276906490325928,0.6055381298065186,0.26490281998886434,"[0.445692777633667, 0.773719072341919, 0.42159199714660645, 0.3413658142089844, 1.045320987701416]"
0,-1,10,2.035153388977051,0.40703067779541013,0.07034892730860708,"[0.3814206123352051, 0.4056050777435303, 0.3172438144683838, 0.5332708358764648, 0.3976130485534668]",2,0.6509649753570557,0.32548248767852783,0.047867417335510254,"[0.3733499050140381, 0.2776150703430176]"
